Open,Max,Min,Close,UP,Uprate,predict,amount,opinion,date
3212.03,3222.98,3204.85,3222.42,4.26,0.13,0.00088864,16012677000,1,20170714
3219.79,3230.35,3139.5,3176.46,-45.96,-1.43,0.007271979,26620527000,0,20170717
3159.73,3187.67,3150.13,3187.57,11.11,0.35,0.002570793,19062306000,1,20170718
3181.4,3232.94,3179.73,3230.98,43.41,1.36,-0.003670687,27242073000,1,20170719
3227.51,3246.24,3225.43,3244.86,13.88,0.43,0.00298305,23210839000,1,20170720
3236.59,3247.71,3231.96,3237.98,-6.88,-0.21,-0.004727604,20600325000,1,20170721
3230.9,3261.1,3230.07,3250.6,12.62,0.39,0.002227563,23305640000,0,20170724
3249.14,3261.65,3233.14,3243.69,-6.91,-0.21,-0.000164257,20557387000,0,20170725
3244.46,3264.85,3228.04,3247.67,3.98,0.12,0.007805133,21354201000,1,20170726
3243.77,3251.93,3220.64,3249.78,2.11,0.06,0.004311988,22848595000,1,20170727
3240.17,3256.37,3232.96,3253.24,3.46,0.11,0.012207447,18222688000,0,20170728
3252.75,3276.95,3251.19,3273.03,19.79,0.61,0.001440031,24603944000,0,20170731
3274.37,3292.64,3273.5,3292.64,19.61,0.6,0.004446579,23719459000,1,20170801
3288.52,3305.43,3282.04,3285.06,-7.58,-0.23,0.007310823,26673063000,0,20170802
3279.99,3293.37,3262.16,3272.93,-12.13,-0.37,0.005999735,23327700000,1,20170803
3269.32,3287.19,3261.31,3262.08,-10.85,-0.33,-0.004243357,27590634000,1,20170804
3257.67,3280.1,3243.72,3279.46,17.38,0.53,0.014171096,23117338000,1,20170807
3277.19,3285.48,3269.66,3281.87,2.41,0.07,0.002884047,25204354000,0,20170808
3277.81,3277.94,3263.85,3275.57,-6.3,-0.19,0.009867894,23559791000,1,20170809
3269.73,3282.52,3236.18,3261.75,-13.82,-0.42,-0.000513688,24068462000,1,20170810
3237.92,3245.12,3200.75,3208.54,-53.21,-1.63,0.006935077,26296300000,0,20170811
3206.04,3240.05,3206.04,3237.36,28.82,0.9,0.001661589,19034680000,1,20170814
3235.23,3263.59,3235.1,3251.26,13.9,0.43,-8.33E-05,18229800000,0,20170815
3247.85,3248.79,3228.87,3246.45,-4.81,-0.15,0.009421499,17685205000,1,20170816
3253.85,3269.14,3251.46,3268.43,21.98,0.68,0.006033247,20362255000,0,20170817
3253.24,3275.08,3248.08,3268.72,0.29,0.01,0.002926204,19112248000,0,20170818
3274.58,3287.52,3270.48,3286.91,18.19,0.56,0.006479714,18612248000,0,20170821
3287.61,3293.48,3274.94,3290.23,3.32,0.1,-0.001347573,18653799000,1,20170822
3283.8,3299.46,3274.44,3287.7,-2.53,-0.08,0.008061711,17983221000,1,20170823
3287.96,3297.99,3266.36,3271.51,-16.19,-0.49,0.006153632,16346894000,1,20170824
3271.46,3331.91,3271.46,3331.52,60.01,1.83,0.01461854,20583948000,1,20170825
3336.13,3375.03,3336.13,3362.65,31.13,0.93,0.009750897,25746144000,0,20170828
3362.06,3374.59,3354.46,3365.23,2.58,0.08,-0.007590758,21950454000,0,20170829
3361.82,3376.65,3357.08,3363.63,-1.6,-0.05,0.002320714,24686331000,0,20170830
3361.46,3367.36,3340.69,3360.81,-2.82,-0.08,0.002632331,23441978000,1,20170831
3365.99,3381.93,3358.47,3367.12,6.31,0.19,0.012141235,28249758000,0,20170901
3369.72,3381.4,3359.13,3379.58,12.46,0.37,0.017238576,26742785000,0,20170904
3377.2,3390.82,3371.57,3384.32,4.74,0.14,0.000299698,21655295000,0,20170905
3372.43,3391.01,3364.76,3385.39,1.07,0.03,0.004713876,22909079000,1,20170906
3383.63,3387.8,3363.18,3365.5,-19.89,-0.59,0.005942101,22111869000,0,20170907
3364.43,3380.89,3353.69,3365.24,-0.26,-0.01,0.002937926,19840518000,0,20170908
3365.35,3384.81,3360.05,3376.42,11.18,0.33,0.007485941,21901102000,1,20170911
3381.49,3391.07,3370.85,3379.49,3.07,0.09,0.002553955,27291032000,0,20170912
3374.72,3387.14,3366.54,3384.15,4.66,0.14,0.003686719,19455072000,0,20170913
3383.47,3391.64,3361.33,3371.43,-12.72,-0.38,0.009727247,22130649000,0,20170914
3365.15,3365.53,3345.33,3353.62,-17.81,-0.53,0.006625766,21976582000,1,20170915
3352.51,3371.75,3352.51,3362.86,9.24,0.28,0.002471646,19031968000,1,20170918
3365.53,3370.4,3344.71,3356.84,-6.02,-0.18,-0.004953606,19112969000,1,20170919
3352.18,3370.1,3346.54,3366,9.16,0.27,0.009702185,19219666000,0,20170920
3364.7,3377.88,3356.88,3357.81,-8.19,-0.24,0.000744987,19744870000,1,20170921
3347.16,3356.45,3334.98,3352.53,-5.28,-0.16,-0.002814777,17923401000,1,20170922
3344.59,3350.96,3334.94,3341.55,-10.98,-0.33,0.00124893,16962129000,0,20170925
3336.35,3347.16,3332.6,3343.58,2.03,0.06,0.007147707,13262859500,0,20170926
3340.82,3349.69,3340.3,3345.27,1.69,0.05,0.012574762,14308695000,0,20170927
3343.84,3344.6,3336.18,3339.64,-5.63,-0.17,2.63E-06,14944430000,1,20170928
3340.31,3357.02,3340.31,3348.94,9.3,0.28,0.008345785,14486244000,1,20170929
3403.25,3410.17,3366.97,3374.38,25.44,0.76,-0.001980701,19173606000,0,20171009
3373.34,3384.03,3358.8,3382.99,8.61,0.26,0.002179276,17942384000,0,20171010
3381.49,3395.78,3379.16,3388.28,5.29,0.16,-1.88E-05,18147670000,0,20171011
3385.53,3390.2,3372.53,3386.1,-2.18,-0.06,0.002955757,16180938000,0,20171012
3384.49,3395.75,3383.24,3390.52,4.42,0.13,0.004699323,13995476000,0,20171013
3393.21,3400.51,3374.77,3378.47,-12.05,-0.36,0.009451643,17433062000,1,20171016
3373.23,3382.41,3365.56,3372.04,-6.43,-0.19,0.000478053,12538172500,1,20171017
3373.53,3383.23,3371.92,3381.79,9.75,0.29,0.007597554,15722879000,0,20171018
3374.64,3378.74,3359.63,3370.17,-11.62,-0.34,0.004181925,15847650000,0,20171019
3363.51,3379.77,3360.1,3378.65,8.48,0.25,0.020421781,12717285100,0,20171020
3382.28,3385.29,3374.71,3380.7,2.05,0.06,-0.004095562,13084628900,0,20171023
3376.6,3388.69,3374.12,3388.25,7.55,0.22,0.006792072,13989751000,0,20171024
3384.86,3398.3,3382.03,3396.9,8.65,0.26,0.007173164,12313122200,0,20171025
